face_id,event_id,type,dHash
Event_LopTai__be92a5c2e2b34938281ec66af5704101__face01,Event_LopTai,near_duplicate,0001111101110001011100000001001011010110011011010100011001100010
Event_LopTai__be92a5c2e2b34938281ec66af5704101__face02,Event_LopTai,near_duplicate,0110101111000011100100011011001110010001101001010100011101100001
Event_LopTai__8a74521b38bf96c8770f32130866f810__face01,Event_LopTai,near_duplicate,0001111101110001011100010001001011010110010011000101011000100010
Event_LopTai__8a74521b38bf96c8770f32130866f810__face02,Event_LopTai,near_duplicate,0110101111100011110100011001001110010001111000010100011100100111
Event_LopTai__73fc5d10ff65202de873c0c115faa6b2__face01,Event_LopTai,near_duplicate,0111001111100001110000011011010010110100100001001100010011100000
Event_LopTai__02c3de26b91b1e2488589da398779800__face01,Event_LopTai,near_duplicate,0111001111100001110100011011010010110100100001001000010011100000
Event_LopTai__02c3de26b91b1e2488589da398779800__face02,Event_LopTai,near_duplicate,0011000001100000011100000101001011010010110011001100110001111000
Event_LopTai__668ddd735bd09bf0a427a8c258ad23f0__face01,Event_LopTai,near_duplicate,0111001111100001110100001001000010010100100001001100010011100000
Event_LopTai__668ddd735bd09bf0a427a8c258ad23f0__face02,Event_LopTai,near_duplicate,0011000001100000011100001101001011010010110011001100110001111000
Event_LopTai__c81977465191768ba3b34cdd82260a84__face01,Event_LopTai,near_duplicate,0111001101100001111000011001000010010100100001001100010111100000
Event_LopTai__c81977465191768ba3b34cdd82260a84__face02,Event_LopTai,near_duplicate,0011001000110000011100000101001001110010010011000110110001110001
Event_LopTai__3d769dcef5f847a94a5c049fce22c602__face01,Event_LopTai,near_duplicate,0111001101100001111000011001000010010100110001001100010111100010
Event_LopTai__3d769dcef5f847a94a5c049fce22c602__face02,Event_LopTai,exact_duplicate,0011001000110000011100000101001001110010011011000110110001111001
Event_LopTai__716a1ae3e9ccf2177bd36285e5558c9f__face01,Event_LopTai,near_duplicate,0111001101100001111000011101000011010100110001001100010011100001
Event_LopTai__fc9f9f06531a1a26f98923402ba98e86__face01,Event_LopTai,near_duplicate,0111001101100001111000011101000011010100110001001100010011100001
Event_LopTai__fc9f9f06531a1a26f98923402ba98e86__face02,Event_LopTai,near_duplicate,0011000001110000011100000101001111010010110011001100110011111010
Event_LopTai__00808ec6df9aa91d8d164d420797db5c__face02,Event_LopTai,near_duplicate,0001111101110001011000010001011111010101010011010000011100101011
Event_LopTai__814d26baa37dbe6807aacf02accc5b87__face01,Event_LopTai,near_duplicate,0001100100111000001110000111011001010110010111100111001001111000
Event_LopTai__a1933b37494eb47ed79b3a46cb871b9c__face02,Event_LopTai,near_duplicate,1001100100111000001110000111011001010110010111100111011000111000
Event_LopTai__d212ceac6e63e15e97a4dff2fe0f00f2__face01,Event_LopTai,near_duplicate,1001100110111000001110000111011001110110010111100111011000111000
Event_LopTai__d212ceac6e63e15e97a4dff2fe0f00f2__face02,Event_LopTai,exact_duplicate,0001111101110001011100010001001111010100010011010000011100101000
Event_LopTai__27aeb261ea51ded7743a9cd060890173__face01,Event_LopTai,near_duplicate,0011001101110001111100011111000011010100110001001101010011101001
Event_LopTai__3ca7431767ad9e6ab6633f4183706274__face01,Event_LopTai,near_duplicate,0011001101110001101100011111000011010100110001001100010011101001
Event_LopTai__cd4e81a0d435a3d8814ccff013bc1936__face01,Event_LopTai,near_duplicate,0011001100111001001100010111010011110100111011001110110011111000
Event_LopTai__8ac4c6e0f3d5200554dc7985f795bed0__face02,Event_LopTai,near_duplicate,1001100100111000001110000111011001110110010111100111011001111000
Event_LopTai__ba1c6299a14ce4593fadd54672c29035__face02,Event_LopTai,exact_duplicate,0011001111100001111000011101010011010100110101001100010011100001
Event_LopTai__1e7e2ed3831fb57dfcb8e81c5f17616c__face01,Event_LopTai,near_duplicate,1001100100111001001100000111011001110110010011100111011011111000
Event_LopTai__0440dcae0d29f79c476f777dcecf3b84__face01,Event_LopTai,near_duplicate,1110001111000011110000011001010110010101100001011000010111100001
